
g order9
-10.000000 -10.000000
-9.800000 -10.000000
-9.600000 -10.000000
-9.400000 -10.000000
-9.200000 -10.000000
-9.000000 -10.000000
-8.800000 -10.000000
-8.600000 -10.000000
-8.400000 -10.000000
-8.200000 -10.000000
-8.000000 -10.000000
-7.800000 -10.000000
-7.600000 -10.000000
-7.400000 -10.000000
-7.200000 -10.000000
-7.000000 -10.000000
-6.800000 -10.000000
-6.600000 -10.000000
-6.400000 -10.000000
-6.200000 -10.000000
-6.000000 -10.000000
-5.800000 -10.000000
-5.600000 -10.000000
-5.400000 -10.000000
-5.200000 -10.000000
-5.000000 -10.000000
-4.800000 -10.000000
-4.600000 -10.000000
-4.400000 -10.000000
-4.200000 -10.000000
-4.000000 -10.000000
-3.800000 -10.000000
-3.600000 -10.000000
-3.400000 -10.000000
-3.200000 -10.000000
-3.000000 -10.000000
-2.800000 -10.000000
-2.600000 -10.000000
-2.400000 -10.000000
-2.200000 -10.000000
-2.000000 -10.000000
-1.800000 -9.567469
-1.600000 -5.812134
-1.400000 -3.600664
-1.200000 -2.301154
-1.000000 -1.520635
-0.800000 -1.025675
-0.600000 -0.683879
-0.400000 -0.422787
-0.200000 -0.202710
-0.000000 -0.000000
0.200000 0.202710
0.400000 0.422787
0.600000 0.683879
0.800000 1.025675
1.000000 1.520635
1.200000 2.301154
1.400000 3.600664
1.600000 5.812134
1.800000 9.567469
2.000000 10.000000
2.200000 10.000000
2.400000 10.000000
2.600000 10.000000
2.800000 10.000000
3.000000 10.000000
3.200000 10.000000
3.400000 10.000000
3.600000 10.000000
3.800000 10.000000
4.000000 10.000000
4.200000 10.000000
4.400000 10.000000
4.600000 10.000000
4.800000 10.000000
5.000000 10.000000
5.200000 10.000000
5.400000 10.000000
5.600000 10.000000
5.800000 10.000000
6.000000 10.000000
6.200000 10.000000
6.400000 10.000000
6.600000 10.000000
6.800000 10.000000
7.000000 10.000000
7.200000 10.000000
7.400000 10.000000
7.600000 10.000000
7.800000 10.000000
8.000000 10.000000
8.200000 10.000000
8.400000 10.000000
8.600000 10.000000
8.800000 10.000000
9.000000 10.000000
9.200000 10.000000
9.400000 10.000000
9.600000 10.000000
9.800000 10.000000

b order3
-10.000000 -10.000000
-9.800000 -10.000000
-9.600000 -10.000000
-9.400000 -10.000000
-9.200000 -10.000000
-9.000000 -10.000000
-8.800000 -10.000000
-8.600000 -10.000000
-8.400000 -10.000000
-8.200000 -10.000000
-8.000000 -10.000000
-7.800000 -10.000000
-7.600000 -10.000000
-7.400000 -10.000000
-7.200000 -10.000000
-7.000000 -10.000000
-6.800000 -10.000000
-6.600000 -10.000000
-6.400000 -10.000000
-6.200000 -10.000000
-6.000000 -10.000000
-5.800000 -10.000000
-5.600000 -10.000000
-5.400000 -10.000000
-5.200000 -10.000000
-5.000000 -10.000000
-4.800000 -10.000000
-4.600000 -10.000000
-4.400000 -10.000000
-4.200000 -10.000000
-4.000000 -10.000000
-3.800000 -10.000000
-3.600000 -10.000000
-3.400000 -10.000000
-3.200000 -10.000000
-3.000000 -10.000000
-2.800000 -10.000000
-2.600000 -8.458667
-2.400000 -7.008000
-2.200000 -5.749333
-2.000000 -4.666667
-1.800000 -3.744000
-1.600000 -2.965333
-1.400000 -2.314667
-1.200000 -1.776000
-1.000000 -1.333333
-0.800000 -0.970667
-0.600000 -0.672000
-0.400000 -0.421333
-0.200000 -0.202667
-0.000000 -0.000000
0.200000 0.202667
0.400000 0.421333
0.600000 0.672000
0.800000 0.970667
1.000000 1.333333
1.200000 1.776000
1.400000 2.314667
1.600000 2.965333
1.800000 3.744000
2.000000 4.666667
2.200000 5.749333
2.400000 7.008000
2.600000 8.458667
2.800000 10.000000
3.000000 10.000000
3.200000 10.000000
3.400000 10.000000
3.600000 10.000000
3.800000 10.000000
4.000000 10.000000
4.200000 10.000000
4.400000 10.000000
4.600000 10.000000
4.800000 10.000000
5.000000 10.000000
5.200000 10.000000
5.400000 10.000000
5.600000 10.000000
5.800000 10.000000
6.000000 10.000000
6.200000 10.000000
6.400000 10.000000
6.600000 10.000000
6.800000 10.000000
7.000000 10.000000
7.200000 10.000000
7.400000 10.000000
7.600000 10.000000
7.800000 10.000000
8.000000 10.000000
8.200000 10.000000
8.400000 10.000000
8.600000 10.000000
8.800000 10.000000
9.000000 10.000000
9.200000 10.000000
9.400000 10.000000
9.600000 10.000000
9.800000 10.000000

r original
-10.000000 -0.648361
-9.800000 -0.393883
-9.600000 -0.177038
-9.400000 0.024783
-9.200000 0.228642
-9.000000 0.452316
-8.800000 0.721147
-8.600000 1.082032
-8.400000 1.645711
-8.200000 2.773749
-8.000000 6.799711
-7.800000 -10.000000
-7.600000 -3.852266
-7.400000 -2.049284
-7.200000 -1.304621
-7.000000 -0.871448
-6.800000 -0.568340
-6.600000 -0.327858
-6.400000 -0.117349
-6.200000 0.083378
-6.000000 0.291006
-5.800000 0.524666
-5.600000 0.813943
-5.400000 1.217541
-5.200000 1.885642
-5.000000 3.380515
-4.800000 10.000000
-4.600000 -8.860175
-4.400000 -3.096324
